prot-ID,blast-descriptor,signal
YP_009336483_1,Lucheng,100
YP_009725295_1,SARS-CoV-2,0
YP_009047217_1,MERS-CoV,18
YP_001718611_1,HKU8,100
YP_009944273_1,HKU1,67
YP_009513020_1,HKU15,100
YP_009555250_1,OC43,100
YP_010037559_1,HKU33,90
YP_001876436_1,SW1,78
YP_002308478_1,HKU11-934,96
YP_010229075_1,NL63,90
YP_010037473_1,CHB25,100
YP_005352862_1,HKU19,99
YP_009924387_1,HKU9,100
YP_008439216_1,CDPHE15/USA/2006,100
YP_009944365_1,SARS-CoV-1,12
NP_835346_1,229E,90
